Station ,2011,2012,2013,2014,2015,2016,Borough
Delancey St ,22127,22846,23691,24154,24902,25625,Manhattan
Dyckman St ,4025,3795,6564,7112,7233,7297,Manhattan
Dyckman St ,7088,7375,6557,6687,6831,6874,Manhattan
East Broadway ,12993,13052,13276,13720,14228,14654,Manhattan
Franklin St ,5998,5931,5825,5867,5825,5984,Manhattan
Fulton St ,63203,62779,64461,69444,74676,85440,Manhattan
Grand Central-42 St ,147644,150266,153861,157899,160294,158580,Manhattan
Grand St ,23284,23406,23770,24153,24281,24649,Manhattan
Harlem-148 St ,3553,3616,3790,3952,4096,4017,Manhattan
Houston St ,14814,15247,15736,15878,15286,15333,Manhattan
Inwood-207 St ,8888,8717,8866,9136,9317,9350,Manhattan
Lexington Av ,65855,67478,67841,69332,68988,67684,Manhattan
Lexington Av-53 St ,66045,67821,69973,70606,70686,69750,Manhattan
Lexington Av-63 St ,15616,15639,15404,15493,16098,16988,Manhattan
Marble Hill-225 St ,4758,5380,5456,5766,5732,5636,Manhattan
Prince St ,16223,16344,15261,15404,15597,15424,Manhattan
Rector St ,8902,10065,11323,10869,10625,9788,Manhattan
Rector St ,8083,6912,5362,4127,6157,6524,Manhattan
Roosevelt Island ,6576,6430,6321,5998,6197,6630,Manhattan
South Ferry ,29583,26576,20405,23017,28809,29534,Manhattan
Spring St ,11729,12153,12257,12327,11543,11390,Manhattan
Spring St ,12097,12604,13136,13319,12914,12775,Manhattan
Times Sq-42 St ,189426,195464,197696,204908,206247,202363,Manhattan
Wall St ,25559,25682,26706,28075,27242,27291,Manhattan
Wall St ,22986,23992,25078,25619,23595,22211,Manhattan
West 4 St-Washington Sq ,37873,39157,40798,41968,42760,42755,Manhattan
103 St-Corona Plaza ,18583,18984,19216,19814,20044,20282,Queens
104 St ,1751,1725,1736,1333,1890,2189,Queens
104 St ,2558,2553,2575,2659,2710,2758,Queens
111 St ,10593,10655,10914,11091,11198,11421,Queens
111 St ,2711,2728,2718,2815,2727,1947,Queens
111 St ,2683,2613,2605,2596,2627,2607,Queens
121 St ,2248,2218,2222,2397,2462,2500,Queens
169 St ,8949,8944,9042,9106,9138,9016,Queens
21 St ,1123,1478,1309,1265,1564,1735,Queens
21 St-Queensbridge ,8678,8749,8761,8914,9447,9779,Queens
30 Av ,13774,14515,14802,14897,14771,14739,Queens
33 St-Rawson St ,13587,13985,14246,14256,13604,13302,Queens
36 Av ,7194,7669,7688,7577,7447,7347,Queens
36 St ,4340,4502,4540,4597,4733,4776,Queens
39 Av ,2768,3044,3262,3504,3391,3207,Queens
40 St-Lowery St ,10751,10919,11100,11211,11053,11089,Queens
46 St ,9399,9482,9529,9608,9439,9362,Queens
46 St-Bliss St ,14479,14499,14656,14634,14413,14335,Queens
52 St ,6596,6748,6830,6951,6888,6795,Queens
63 Dr-Rego Park ,15557,16056,16334,16771,16770,16868,Queens
65 St ,3448,3551,3532,3647,3762,3747,Queens
67 Av ,9333,9403,9475,9544,9548,9479,Queens
69 St ,4984,5031,5085,5128,4988,5072,Queens
74-Bway ,49828,50194,50841,51285,51925,52296,Queens
75 Av ,3811,3735,3763,3742,3756,3710,Queens
75 St-Elderts Ln ,3714,3757,3759,3777,3837,3837,Queens
80 St ,4181,4253,4291,4664,4445,3574,Queens
82 St-Jackson Hts ,15811,15582,15662,15899,15711,15765,Queens
85 St-Forest Pkwy ,3704,3776,3792,3860,3947,3968,Queens
88 St ,2680,2677,2719,2065,3464,3221,Queens
90 St-Elmhurst Av ,16679,16768,16743,16747,16814,16957,Queens
Aqueduct Racetrack ,116,0,551,1597,1711,1739,Queens
Aqueduct-North Conduit Av ,1386,2430,1951,1122,1181,1125,Queens
Astoria Blvd ,11809,12127,12210,12209,12344,12358,Queens
Astoria-Ditmars Blvd ,16541,16777,17039,17178,17181,17345,Queens
Beach 105 St ,255,253,141,260,305,289,Queens
Beach 25 St ,1702,1494,904,1722,1861,1968,Queens
Beach 36 St ,622,718,466,872,936,975,Queens
Beach 44 St ,748,538,297,581,624,676,Queens
Beach 60 St ,1798,1924,1317,2448,2501,2507,Queens
Beach 67 St-Arverne By The Sea ,2236,1859,1118,2183,2407,2493,Queens
Beach 90 St ,1019,877,463,846,946,939,Queens
Beach 98 St ,615,572,292,563,608,579,Queens
Briarwood-Van Wyck Blvd ,5655,5196,4664,4695,4876,5057,Queens
Broad Channel ,304,267,127,251,310,313,Queens
Broadway ,12678,13041,13280,13515,13236,12957,Queens
Court Sq ,21610,18631,20446,22433,22717,23317,Queens
Elmhurst Av ,13426,13562,13597,13568,13588,13508,Queens
Far Rockaway-Mott Av ,4750,4068,2651,4748,4989,5009,Queens
Flushing-Main St ,60184,60540,60190,60252,60226,60259,Queens
Forest Av ,3901,3971,4103,4210,4386,4429,Queens
Forest Hills-71 Av ,27123,27537,27728,27784,28209,28135,Queens
