Station ,2011,2012,2013,2014,2015,2016,Borough
68 St-Hunter College ,24888,25112,22699,24694,21588,22104,Manhattan
7 Av ,11128,11945,13228,14772,15228,12512,Manhattan
72 St ,52465,54346,56182,55681,55779,54054,Manhattan
72 St ,10696,11146,11601,11524,10393,9285,Manhattan
77 St ,34741,35034,31629,35140,30244,31824,Manhattan
79 St ,22222,22065,22409,23523,22886,21987,Manhattan
8 St-New York University ,23679,22455,21349,23087,24844,25216,Manhattan
81 St-Museum of Natural History ,16543,17404,18407,18592,18041,16569,Manhattan
86 St ,22870,23823,23929,25221,24588,24228,Manhattan
86 St ,67526,70146,74891,74502,76054,70271,Manhattan
86 St ,9290,9680,10117,10321,9597,8603,Manhattan
96 St ,46337,48008,50175,57611,54984,51360,Manhattan
96 St ,22037,21960,20498,22217,21115,21033,Manhattan
96 St ,7877,8283,8883,9061,8183,7127,Manhattan
Astor Place ,20420,21020,22486,22557,19413,18199,Manhattan
Bowery ,5402,5145,4982,5320,6200,6071,Manhattan
Bowling Green ,16990,17227,23531,25472,20356,15072,Manhattan
Broad St ,277,95,97,101,1624,3905,Manhattan
Broadway-Lafayette St ,45388,45632,49686,49789,47332,45189,Manhattan
Brooklyn Bridge-City Hall ,26995,26025,25612,27091,24778,24004,Manhattan
Canal St ,5068,4875,4628,4838,4339,4478,Manhattan
Canal St ,15297,15441,16622,17158,16478,13617,Manhattan
Canal St ,73517,73859,70691,69891,69347,69319,Manhattan
Cathedral Pkwy-110 St ,18005,18710,18818,15081,15655,15761,Manhattan
Cathedral Pkwy-110 St ,8375,8652,8988,9270,8577,7851,Manhattan
Central Park North-110 St ,10541,11305,11087,12384,12369,11542,Manhattan
Chambers St ,14876,15240,16085,16750,17656,17555,Manhattan
Chambers St ,36074,36362,37769,34977,41206,37811,Manhattan
Christopher St-Sheridan Sq ,17016,16848,16017,16989,15634,14890,Manhattan
City Hall ,6577,4819,2167,892,4077,4685,Manhattan
Cortlandt St ,0,0,0,0,0,0,Manhattan
Cortlandt St ,8028,8372,3626,2365,9733,18064,Manhattan
Delancey St ,28903,28830,31807,32364,34843,35416,Manhattan
Dyckman St ,3462,5184,7683,8877,8645,10010,Manhattan
Dyckman St ,9753,9142,8140,8366,9296,6925,Manhattan
East Broadway ,13851,13734,15077,16041,17418,18482,Manhattan
Franklin St ,4718,4279,4093,4656,4617,4762,Manhattan
Fulton St ,35143,40109,42662,44299,48634,61805,Manhattan
Grand Central-42 St ,97284,99936,105452,108091,109137,104291,Manhattan
Grand St ,34181,32714,35565,36238,33632,29977,Manhattan
Harlem-148 St ,3670,3786,3777,3745,4157,3597,Manhattan
Houston St ,8587,8851,9365,9686,9088,8717,Manhattan
Inwood-207 St ,15361,11333,11856,12130,12944,9526,Manhattan
Lexington Av ,67744,69374,74118,72247,71184,68953,Manhattan
Lexington Av-53 St ,40172,42957,45260,46802,45716,39505,Manhattan
Lexington Av-63 St ,13981,12191,9928,9863,11517,13089,Manhattan
Prince St ,27581,25952,24428,25668,26154,25371,Manhattan
Rector St ,6852,9776,9328,11503,6098,5566,Manhattan
Rector St ,6669,5985,2917,1252,6066,6972,Manhattan
Roosevelt Island ,8135,7571,6123,6200,7100,7677,Manhattan
South Ferry ,28410,26929,17996,22932,25555,26858,Manhattan
Spring St ,16949,17778,18557,19054,15934,16329,Manhattan
Spring St ,9562,10489,9874,10639,9150,8974,Manhattan
Times Sq-42 St ,228807,239674,242742,251718,253004,234830,Manhattan
Wall St ,9611,11514,12562,12869,13262,13671,Manhattan
Wall St ,12756,12233,15682,16810,12913,8953,Manhattan
West 4 St-Washington Sq ,54015,54177,58299,60412,60441,56440,Manhattan
103 St-Corona Plaza ,25330,25246,26098,25974,26056,24283,Queens
104 St ,1434,1401,1350,887,1014,1232,Queens
104 St ,2416,2108,2251,2763,2774,2686,Queens
111 St ,14791,14741,15183,15279,15536,15324,Queens
111 St ,2017,2102,1902,1558,1303,1192,Queens
111 St ,2262,2021,2130,2594,2630,2566,Queens
121 St ,2249,1991,2249,2861,2973,2872,Queens
169 St ,9343,9576,9758,9811,9757,8924,Queens
21 St ,1490,1841,1636,1958,2488,2528,Queens
21 St-Queensbridge ,9202,8532,7288,7510,8754,9460,Queens
30 Av ,15563,18212,18570,18683,18131,17197,Queens
33 St-Rawson St ,4772,4920,5153,4964,4690,4650,Queens
36 Av ,7743,9088,9308,9385,9180,8650,Queens
36 St ,2525,2454,2269,2525,2499,2545,Queens
39 Av ,2226,3110,3346,3884,3813,3631,Queens
40 St-Lowery St ,11926,12122,12069,11750,11090,10421,Queens
46 St ,10679,11137,10818,10555,10187,9461,Queens
46 St-Bliss St ,18496,18491,18380,17715,16827,16110,Queens
52 St ,8118,8221,8112,8108,7725,7252,Queens
63 Dr-Rego Park ,17333,17997,17836,18386,17915,16777,Queens
65 St ,4093,4453,4122,4223,4289,4144,Queens
67 Av ,7744,7702,7467,7743,7778,7163,Queens
69 St ,7061,7107,6901,6941,6557,6362,Queens
74-Bway ,68607,69688,71930,73919,73373,72305,Queens
75 Av ,3761,3615,3647,3276,3307,2857,Queens
75 St-Elderts Ln ,3380,3046,3297,3854,4013,3816,Queens
80 St ,4068,4212,3984,5915,6203,3405,Queens
82 St-Jackson Hts ,21122,20374,21133,20557,20622,19491,Queens
85 St-Forest Pkwy ,3605,3279,3500,4207,4297,4113,Queens
88 St ,2275,2257,2128,1599,2316,2386,Queens
90 St-Elmhurst Av ,22874,22506,22890,22235,22079,20866,Queens
Aqueduct Racetrack ,461,0,1325,4054,4297,4211,Queens
Aqueduct-North Conduit Av ,2229,5067,3627,1308,1185,1016,Queens
Astoria Blvd ,15757,15354,15715,14815,14410,13659,Queens
Astoria-Ditmars Blvd ,18568,19077,19697,19227,19057,18533,Queens
Beach 105 St ,271,325,229,297,374,396,Queens
Beach 25 St ,1235,1163,674,1479,1753,1806,Queens
Beach 36 St ,621,696,443,921,1056,1037,Queens
Beach 44 St ,631,496,284,612,698,721,Queens
Beach 60 St ,1777,1954,1286,2702,2977,2810,Queens
Beach 67 St-Arverne By The Sea ,2026,1947,1323,2642,3371,3189,Queens
Beach 90 St ,2412,1563,1401,1646,1609,1751,Queens
Beach 98 St ,741,874,474,1011,1025,1023,Queens
Briarwood-Van Wyck Blvd ,5402,4827,4417,4242,4354,4126,Queens
Broad Channel ,211,171,84,191,234,210,Queens
Broadway ,14578,16517,17411,17790,17142,16276,Queens
Court Sq ,15709,12787,16214,17776,17591,16026,Queens
Elmhurst Av ,17039,17262,16028,16519,16279,14896,Queens
Far Rockaway-Mott Av ,3953,3639,2355,5030,5569,5345,Queens
Flushing-Main St ,67395,70993,68974,69065,68232,70714,Queens
Forest Av ,3344,2606,2423,3008,3678,3421,Queens
Forest Hills-71 Av ,26364,26787,27914,27854,27174,25846,Queens
Fresh Pond Rd ,4349,3739,3188,4273,5103,4919,Queens
Grand Av-Newtown ,21671,22147,21480,21475,21443,20303,Queens
Howard Beach-JFK Airport ,4264,4751,6509,4349,4740,4365,Queens
Hunters Point Av ,1888,1442,1542,1738,2150,2523,Queens
Jamaica Center-Parsons-Archer ,34502,35186,34680,37145,34737,34062,Queens
Jamaica-179 St ,17118,17189,17318,17249,17197,16265,Queens
Jamaica-Van Wyck ,5302,5876,5422,5200,4532,4672,Queens
Junction Blvd ,28929,28341,27840,28848,28900,29702,Queens
Kew Gardens-Union Turnpike ,23022,24355,25970,24147,24732,22088,Queens
Mets-Willets Point ,11044,9273,12709,12295,14507,11209,Queens
Middle Village-Metropolitan Av ,3864,3268,2900,3733,4030,3868,Queens
Northern Blvd ,7255,7587,7285,7304,7178,6821,Queens
Ozone Park-Lefferts Blvd ,7036,6976,6568,5764,4545,5538,Queens
Parsons Blvd ,6476,6740,7174,7096,7420,6736,Queens
Queens Plaza ,5580,6051,7189,7987,8111,7574,Queens
Queensboro Plaza ,11545,12254,13610,15734,14352,14891,Queens
Rockaway Blvd ,7289,7989,7903,7630,5142,7763,Queens
Rockaway Park-Beach 116 St ,1262,1143,703,1053,1137,1167,Queens
Seneca Av ,2580,1851,1653,1957,2712,2410,Queens
Steinway St ,20633,20193,19118,18764,18200,16851,Queens
Sutphin Blvd ,5100,5086,5397,4502,4959,4134,Queens
Sutphin Blvd-Archer Av-JFK Airport ,24498,25388,26184,28862,28383,28587,Queens
Vernon Blvd-Jackson Av ,9441,8612,9491,10347,12582,14981,Queens
Woodhaven Blvd ,4227,3835,4255,5226,5388,5099,Queens
Woodhaven Blvd ,28011,27847,27194,27105,26745,25550,Queens
Woodside-61 St ,20841,20030,20432,19669,20127,20360,Queens
